part_number,manufacturer,price,quantity
557 277,AS-PL,493.0,1.0
086 110,CLIMA PARTNER,89.0,8.0
226 132,TRW,207.0,4.0
226 132,TRW,207.0,2.0
399 897,HART,590.0,1.0
399 897,HART,590.0,4.0
478 175,SASIC,14.0,1.0
478 175,SASIC,14.0,2.0
349 454,SACHS,806.0,1.0
390 328,BOSCH,4.0,1.0
515 931,NGK,33.0,2.0
362 891,FILTRON,23.0,3.0
362 891,FILTRON,23.0,1.0
362 891,FILTRON,23.0,2.0
154 625,HART,22.0,1.0
154 625,HART,22.0,2.0
154 625,HART,22.0,4.0
470 412,FEBI BILSTEIN,140.0,1.0
470 412,FEBI BILSTEIN,140.0,2.0
520 950,DELPHI,41.0,1.0
239 805,NG,220.0,1.0
629 380,GATES,58.0,1.0
520 631,HART,163.0,1.0
520 631,HART,163.0,2.0
154 630,HART,16.0,3.0
154 630,HART,16.0,2.0
154 630,HART,16.0,1.0
154 630,HART,16.0,4.0
076 672,PROTEC,1127.0,3.0
076 672,PROTEC,1127.0,1.0
076 672,PROTEC,1127.0,2.0
038 412,BOLL,8.0,1.0
038 412,BOLL,8.0,6.0
038 412,BOLL,8.0,3.0
038 412,BOLL,8.0,4.0
038 412,BOLL,8.0,2.0
038 412,BOLL,8.0,7.0
038 412,BOLL,8.0,5.0
443 802,TEDGUM,11.0,2.0
476 530,KYB,115.0,4.0
476 530,KYB,115.0,2.0
476 530,KYB,115.0,1.0
476 530,KYB,115.0,6.0
600 533,NISSENS,345.0,1.0
622 912,HART,280.0,1.0
377 292,FEBI BILSTEIN,172.0,1.0
430 834,FEBI BILSTEIN,63.0,9.0
430 834,FEBI BILSTEIN,63.0,6.0
430 834,FEBI BILSTEIN,63.0,2.0
430 834,FEBI BILSTEIN,63.0,3.0
430 834,FEBI BILSTEIN,63.0,4.0
430 834,FEBI BILSTEIN,63.0,1.0
430 834,FEBI BILSTEIN,63.0,8.0
237 688,ICER,85.0,1.0
368 196,GATES,83.0,1.0
356 098,GATES,87.0,1.0
225 809,ERT,35.0,2.0
225 809,ERT,35.0,1.0
225 809,ERT,35.0,3.0
011 559,CARAT,79.0,1.0
445 843,HART,22.0,2.0
445 843,HART,22.0,4.0
445 843,HART,22.0,3.0
445 843,HART,22.0,1.0
445 843,HART,22.0,9.0
534 537,NISSENS,227.0,1.0
102 028,KLOKKERHOLM,48.0,1.0
389 236,LINMOT,15.0,1.0
139 569,TYC,153.0,1.0
139 569,TYC,153.0,2.0
139 569,TYC,153.0,5.0
061 848,PREMIEREUROPE,84.0,1.0
427 461,HART,41.0,1.0
417 686,FEBI BILSTEIN,45.0,2.0
122 833,TYC,19.0,1.0
058 631,VIAKEN II,5082.0,3.0
058 631,VIAKEN II,5082.0,1.0
058 631,VIAKEN II,5082.0,2.0
309 316,SACHS,385.0,1.0
527 479,NEW AGE,8.0,1.0
527 479,NEW AGE,8.0,2.0
527 479,NEW AGE,8.0,3.0
527 479,NEW AGE,8.0,8.0
443 098,HART,15.0,1.0
474 884,TEDGUM,11.0,2.0
474 884,TEDGUM,11.0,1.0
425 642,SIDEM,13.0,1.0
484 303,ORIGINAL IMPERIUM,7.0,3.0
484 303,ORIGINAL IMPERIUM,7.0,1.0
215 207,TEXTAR,134.0,2.0
215 207,TEXTAR,134.0,1.0
374 362,HART,70.0,1.0
374 362,HART,70.0,2.0
374 362,HART,70.0,10.0
467 628,HART,30.0,2.0
139 570,TYC,153.0,9.0
139 570,TYC,153.0,1.0
139 570,TYC,153.0,2.0
139 570,TYC,153.0,4.0
432 665,LESJÖFORS,90.0,2.0
455 952,LEMFÖRDER,307.0,1.0
376 746,SASIC,64.0,2.0
376 746,SASIC,64.0,1.0
376 746,SASIC,64.0,3.0
159 082,HART,18.0,1.0
159 082,HART,18.0,2.0
159 082,HART,18.0,3.0
484 070,SIDEM,54.0,1.0
536 951,BREMI,36.0,1.0
471 111,FEBI BILSTEIN,183.0,1.0
435 124,HART,21.0,2.0
435 124,HART,21.0,1.0
522 405,DELPHI,82.0,1.0
522 405,DELPHI,82.0,2.0
